category,material_cost,labor_hours,craft_complexity,selling_price,demand_score
Zari Work,165.34,8.8,5,2190.16,55
Brassware,1827.71,38.5,4,7615.14,95
Woodcraft,591.68,7.6,3,2312.73,51
Terracotta,1358.79,17.8,5,4785.2,70
Madhubani,692.25,5.2,4,2265.59,63
Zari Work,1088.13,39.9,4,6819.96,94
Terracotta,1138.75,21.1,1,4228.99,53
Zari Work,451.22,24.6,1,3693.95,84
Brassware,1942.21,4.5,5,4361.61,64
Madhubani,1572.75,30.5,4,5728.28,73
Madhubani,1885.05,10.0,2,4316.08,42
Brassware,1800.17,36.1,1,7298.65,97
Madhubani,1236.01,9.8,5,3542.83,63
Woodcraft,1851.56,9.2,4,4232.23,93
Zari Work,268.14,3.4,4,1503.45,81
Terracotta,472.37,19.9,2,3120.13,48
Brassware,185.93,23.5,5,3867.64,65
Woodcraft,718.13,4.5,4,2004.22,59
Terracotta,838.49,31.5,1,4712.36,79
Terracotta,615.56,19.2,2,3690.92,49
Brassware,1674.6,21.9,5,5433.17,58
Woodcraft,777.83,18.7,2,3858.79,42
Terracotta,633.78,17.2,1,3056.83,63
Terracotta,1131.12,23.3,5,5620.62,44
Woodcraft,367.76,7.9,2,1823.21,42
Madhubani,1624.17,8.9,3,3333.42,97
Terracotta,241.65,34.7,1,4759.83,66
Zari Work,1975.09,38.0,1,6446.48,55
Woodcraft,1567.27,16.2,1,4079.14,88
Terracotta,477.56,12.3,3,2905.53,54
Brassware,110.49,26.5,3,3530.27,74
Zari Work,1649.38,17.5,4,4848.98,51
Terracotta,1443.03,3.0,2,2751.4,80
Zari Work,1485.11,7.9,4,3959.9,92
Zari Work,1565.41,29.2,2,6072.72,83
Madhubani,240.68,27.0,3,3834.81,65
Zari Work,781.08,3.0,3,2033.65,86
Madhubani,320.15,10.4,4,2303.7,73
Woodcraft,1739.9,10.8,5,4724.96,62
Madhubani,1284.27,27.5,4,6264.95,70
Brassware,728.71,2.7,2,1743.71,89
Terracotta,220.76,6.0,4,1911.56,59
Woodcraft,690.87,32.4,1,4322.44,51
Woodcraft,717.85,8.8,2,2469.05,62
Brassware,1486.25,26.8,2,5873.38,43
Madhubani,1311.36,11.1,5,3551.52,62
Terracotta,1785.7,5.8,3,3889.75,87
Madhubani,997.21,11.2,2,2832.99,94
Zari Work,327.23,29.4,3,4625.55,87
Madhubani,1455.17,34.5,4,7175.24,40
Woodcraft,1545.49,33.5,1,6359.38,93
Terracotta,1166.43,17.1,5,4068.66,64
Madhubani,1564.84,27.4,3,5953.04,41
Terracotta,1038.21,9.8,2,2918.05,69
Terracotta,1093.19,13.1,3,3870.84,42
Zari Work,912.33,36.1,2,5667.07,97
Zari Work,148.3,2.5,3,1025.43,60
Woodcraft,304.99,5.2,2,1481.42,64
Brassware,159.72,9.9,4,2102.65,59
Terracotta,1309.18,3.0,2,2526.29,88
Brassware,697.28,8.9,2,2416.11,91
Woodcraft,1066.28,24.2,1,4802.04,61
Terracotta,1824.38,18.0,2,4980.24,60
Terracotta,573.66,35.9,1,5146.13,72
Brassware,879.73,33.1,5,5488.06,91
Madhubani,1535.55,15.0,1,3595.11,77
Zari Work,534.72,11.9,4,2634.18,54
Madhubani,246.26,16.4,1,2252.69,97
Brassware,650.53,24.4,5,4828.02,97
Zari Work,406.32,12.2,4,2886.07,85
Madhubani,1866.43,25.7,3,6061.99,91
Zari Work,1635.43,17.6,3,5127.12,54
Terracotta,1303.47,23.0,1,5096.9,85
Madhubani,1755.78,18.6,1,4993.96,64
Zari Work,1626.98,13.2,5,4841.64,60
Zari Work,454.48,38.0,5,6061.77,63
Zari Work,1795.86,31.0,2,6278.62,96
Madhubani,1124.75,7.3,5,2978.18,97
Woodcraft,1634.14,35.0,2,6456.09,44
Madhubani,1802.57,20.5,4,6047.34,45
Brassware,704.21,36.0,1,5699.92,88
Madhubani,309.1,32.4,4,4646.19,82
Zari Work,533.08,18.2,5,3763.27,87
Terracotta,911.5,2.9,4,2466.88,83
Madhubani,1654.23,12.2,4,3923.85,86
Madhubani,1735.39,22.6,4,5530.56,62
Zari Work,113.21,26.1,5,4511.41,43
Terracotta,1070.42,11.8,4,3473.34,66
Terracotta,893.08,7.3,2,2170.2,57
Brassware,522.0,33.7,5,5654.67,60
Madhubani,327.74,39.4,4,6302.29,67
Terracotta,741.47,22.0,5,4604.1,74
Terracotta,1891.53,8.5,3,3786.0,61
Woodcraft,714.09,12.3,2,2689.18,79
Woodcraft,1085.7,2.7,4,2478.32,62
Terracotta,1435.74,36.7,3,6873.91,42
Brassware,790.9,6.5,3,2512.57,79
Terracotta,1946.39,23.9,5,5719.09,89
Zari Work,1928.65,12.4,3,4953.35,49
Madhubani,578.39,23.1,2,3407.63,64
Brassware,1044.77,26.8,2,4732.13,91
Zari Work,671.67,33.5,1,4446.88,88
Brassware,641.2,9.8,2,2316.64,47
Zari Work,170.09,2.4,3,1095.49,94
Madhubani,1258.17,7.2,2,2875.95,50
Madhubani,1055.09,36.2,5,6074.21,44
Woodcraft,197.81,35.2,1,4725.22,97
Zari Work,629.43,24.7,3,3842.33,84
Woodcraft,1825.71,24.8,1,5803.06,92
Zari Work,555.17,27.3,3,4961.03,94
Woodcraft,375.3,8.7,5,2385.02,76
Madhubani,1029.96,36.7,1,5856.63,95
Brassware,1972.74,17.9,4,5288.38,98
Woodcraft,559.91,16.6,3,2880.31,84
Zari Work,1377.06,21.7,4,4976.67,77
Zari Work,1547.08,3.8,1,2827.34,68
Madhubani,551.51,8.3,4,2524.98,44
Zari Work,1483.61,30.0,4,5651.28,48
Terracotta,798.79,5.1,1,1982.59,98
Brassware,1301.38,24.9,5,5622.46,87
Woodcraft,1303.71,11.3,4,4099.28,41
Brassware,1117.97,16.8,4,4275.89,40
Madhubani,271.55,13.0,5,2884.74,79
Woodcraft,1687.07,15.5,4,4352.31,90
Woodcraft,709.48,29.3,4,4739.16,69
Terracotta,454.39,13.3,4,3244.4,50
Madhubani,177.47,23.5,2,3161.61,67
Zari Work,1222.7,20.1,5,5456.57,83
Terracotta,1387.37,27.2,4,5810.75,51
Terracotta,131.52,37.6,5,5079.06,78
Brassware,1072.98,29.8,3,4965.0,65
Brassware,530.34,10.2,3,2298.52,52
Brassware,1325.83,3.2,4,3158.73,98
Terracotta,431.3,12.0,5,2877.55,47
Zari Work,1412.78,24.6,5,5554.0,93
Woodcraft,834.8,4.0,5,2414.12,67
Brassware,1879.79,20.9,2,4844.97,97
Zari Work,361.29,24.7,3,3931.19,69
Madhubani,748.03,14.7,5,3354.38,48
Brassware,315.6,31.3,5,5437.47,78
Woodcraft,1856.92,6.1,2,3406.89,70
Madhubani,1766.94,4.9,2,3161.05,97
Madhubani,590.09,29.7,5,5182.37,60
Woodcraft,1353.97,20.8,1,4335.48,95
Brassware,1652.72,28.2,5,7151.12,86
Terracotta,1154.88,18.5,5,4692.22,73
Woodcraft,1106.34,11.4,2,2857.66,94
Woodcraft,559.52,33.1,2,5116.25,70
Woodcraft,276.9,32.4,5,4711.25,91
Madhubani,1804.71,28.4,5,5924.59,64
Zari Work,1810.79,12.3,5,5291.49,51
Terracotta,1302.89,24.4,2,5253.88,40
Brassware,744.16,15.7,5,4200.24,94
Brassware,763.5,5.5,5,2595.4,61
Zari Work,1479.32,36.9,4,7067.71,79
Woodcraft,1804.51,7.2,1,3124.22,76
Terracotta,1785.46,38.1,3,6934.71,86
Brassware,1581.76,18.9,1,4817.32,40
Brassware,1319.86,9.0,4,3435.01,40
Woodcraft,259.87,22.6,3,3835.07,96
Zari Work,407.09,35.2,5,5890.38,81
Terracotta,1807.25,29.8,4,6125.8,93
Zari Work,1252.22,32.6,5,6433.89,81
Zari Work,117.47,27.0,2,3857.36,60
Terracotta,292.8,28.3,4,4199.02,54
Terracotta,1360.65,34.3,2,6639.1,56
Brassware,109.62,11.5,4,2289.97,61
Brassware,405.54,20.6,4,3430.02,77
Terracotta,1142.59,10.4,2,3152.1,74
Madhubani,1414.6,39.5,3,7862.05,84
Brassware,1338.73,37.9,1,5853.17,55
Madhubani,526.11,3.5,5,2219.42,47
Terracotta,1453.14,28.8,4,5632.1,86
Brassware,550.77,37.2,5,6432.18,56
Zari Work,718.26,8.9,2,2488.36,56
Terracotta,1518.33,23.6,5,5445.12,93
Woodcraft,1334.3,36.8,2,6170.45,65
Madhubani,1713.52,3.3,5,3829.68,52
Terracotta,1349.46,28.5,1,5237.02,56
Terracotta,1179.79,13.3,1,3459.7,77
Brassware,277.98,37.1,1,4502.17,56
Brassware,798.66,38.9,1,6255.21,87
Brassware,603.88,37.9,1,5675.65,53
Woodcraft,563.58,20.0,1,3577.1,84
Brassware,1948.72,34.8,2,6396.97,45
Terracotta,846.89,34.1,4,5995.81,74
Brassware,1794.89,14.1,5,5074.56,85
Zari Work,1299.16,33.5,1,5607.02,53
Brassware,1610.14,3.4,2,2854.1,86
Woodcraft,1055.01,24.7,2,4151.12,47
Zari Work,1196.12,10.7,2,3383.22,54
Terracotta,1035.78,6.6,4,2929.53,93
Terracotta,470.96,4.9,5,1942.59,66
Madhubani,1472.66,28.5,4,6275.44,52
Zari Work,633.47,14.9,3,3129.42,88
Madhubani,146.2,29.5,2,3602.74,70
Zari Work,1326.4,4.5,3,3141.0,92
Zari Work,436.51,14.0,1,2646.8,95
Woodcraft,1886.87,22.5,1,5296.23,74
Madhubani,1912.46,32.0,4,6357.91,45
Woodcraft,1838.24,14.1,5,5310.62,44
Zari Work,803.3,25.8,3,4637.35,61
Terracotta,129.37,35.7,5,5073.87,97
Zari Work,1863.81,25.4,4,6162.85,88
Woodcraft,913.55,10.9,1,2666.09,62
Madhubani,1936.64,2.9,5,3890.62,64
Madhubani,1930.88,35.1,5,7484.68,73
Woodcraft,1720.72,2.8,1,2827.87,65
Madhubani,659.45,35.2,3,6102.98,86
Brassware,831.69,22.1,1,3739.1,44
Terracotta,1717.16,37.7,5,8013.13,65
Terracotta,702.15,32.4,3,5764.1,59
Terracotta,422.04,39.9,3,5745.5,45
Madhubani,1157.92,15.3,1,3447.98,45
Madhubani,1878.69,31.2,5,7228.65,98
Zari Work,1422.46,17.3,4,4748.27,89
Zari Work,1183.12,20.2,5,5225.89,57
Terracotta,284.64,25.8,2,3763.38,43
Brassware,1268.51,35.2,4,7297.05,56
Zari Work,1981.1,39.4,3,6979.8,96
Zari Work,366.16,31.2,4,4343.29,53
Madhubani,1084.83,17.9,3,4218.88,53
Brassware,1767.01,18.0,3,4757.38,52
Terracotta,1507.46,30.0,4,5878.36,46
Zari Work,1424.33,11.1,3,3570.22,83
Brassware,1434.72,6.2,3,2996.54,94
Brassware,783.03,15.5,2,2870.09,54
Terracotta,657.82,12.9,5,3704.81,58
Brassware,1637.79,13.3,5,4355.49,82
Brassware,1639.22,10.9,2,3998.48,86
Brassware,1747.44,3.6,4,3683.26,83
Zari Work,1835.16,2.7,1,3180.87,74
Terracotta,1071.55,39.5,1,5540.3,56
Brassware,1052.88,18.3,1,4017.26,74
Brassware,1616.76,16.6,2,4462.37,58
Zari Work,1334.93,27.8,2,5545.72,59
Terracotta,1433.74,10.3,3,3775.01,75
Madhubani,1612.01,38.1,1,7246.14,74
Zari Work,1791.01,31.9,4,6575.5,71
Terracotta,742.19,5.4,4,2504.17,97
Brassware,813.61,17.9,1,3365.3,87
Terracotta,278.57,35.4,1,5017.89,83
Terracotta,1198.73,37.9,1,6888.09,79
Terracotta,168.29,19.8,2,2719.07,63
Madhubani,984.64,25.3,2,5159.91,56
Terracotta,1131.02,8.3,2,2568.42,46
Madhubani,644.43,39.7,5,5712.31,82
Brassware,1222.58,10.8,4,3251.16,89
Madhubani,157.95,37.8,4,5213.17,40
Brassware,170.96,26.7,3,4050.1,74
Brassware,1662.94,25.1,2,4942.03,71
Madhubani,784.36,21.5,5,3993.81,75
Zari Work,341.41,10.8,5,2948.56,52
Woodcraft,1092.26,8.7,4,3457.91,45
Terracotta,1562.99,10.4,2,3895.61,97
Woodcraft,510.06,9.1,3,2516.0,53
Terracotta,1283.49,31.6,2,6024.4,76
Terracotta,262.16,15.3,1,2114.08,87
Brassware,198.2,4.2,2,1112.31,54
Terracotta,1109.57,38.8,1,6498.33,86
Terracotta,1127.21,35.6,1,5528.47,43
Madhubani,1311.12,37.3,3,6935.76,79
Woodcraft,1479.57,39.8,4,6553.1,98
Madhubani,1954.12,8.6,2,3761.34,55
Terracotta,1080.97,17.1,1,3636.72,67
Brassware,713.62,30.8,2,5072.89,55
Madhubani,1610.85,28.4,4,6312.89,43
Madhubani,614.58,7.8,4,2611.14,84
Zari Work,934.05,33.0,5,5360.83,65
Terracotta,249.07,10.5,4,2120.56,67
Brassware,148.17,10.5,3,2177.56,71
Madhubani,1929.03,22.4,1,5547.43,84
Madhubani,1688.36,24.5,5,5500.56,41
Brassware,1422.35,24.0,3,5661.33,70
Terracotta,877.01,5.5,2,2041.73,42
Zari Work,429.26,35.3,1,4863.7,93
Madhubani,397.23,12.1,4,2489.27,47
Zari Work,575.46,6.9,1,1837.92,63
Woodcraft,1143.53,35.8,2,6295.38,54
Terracotta,1457.73,38.3,5,6862.69,82
Woodcraft,1354.38,34.8,5,7373.19,70
Woodcraft,631.87,32.8,5,5501.33,48
Woodcraft,1914.24,26.9,4,6108.53,78
Terracotta,1502.0,22.9,3,4801.85,84
Terracotta,1153.27,5.3,3,2559.03,41
Brassware,1262.27,17.5,1,3457.31,47
Zari Work,897.24,16.2,4,3911.11,46
Zari Work,570.69,11.9,5,3351.04,95
Brassware,776.35,29.5,5,5496.01,83
Brassware,1539.91,20.8,2,4517.61,90
Woodcraft,127.35,5.1,2,1026.14,78
Brassware,320.54,10.4,5,2433.11,81
Madhubani,187.41,28.0,5,4403.48,96
Zari Work,177.38,4.9,4,1677.92,55
Brassware,1725.38,34.3,3,6353.26,74
Madhubani,1436.95,20.8,2,4931.51,69
Madhubani,1000.93,20.3,3,4617.36,49
Madhubani,285.88,24.5,4,3976.78,77
Madhubani,1034.07,33.3,5,6681.19,57
Woodcraft,999.6,15.2,3,3711.06,89
Madhubani,429.08,27.8,5,4932.53,44
Woodcraft,924.32,23.5,5,4955.73,92
Woodcraft,857.16,12.1,1,2707.31,68
Madhubani,1270.12,35.4,3,5986.08,78
Zari Work,1306.68,32.3,3,5787.67,73
Madhubani,186.08,27.0,5,4166.16,82
Madhubani,811.76,34.3,4,5936.43,84
Madhubani,1289.13,35.0,1,5438.08,62
Zari Work,1055.96,28.9,5,6282.36,44
Terracotta,1727.33,33.8,2,6926.5,69
Terracotta,1351.52,28.5,2,5357.25,45
Woodcraft,409.58,27.8,1,3671.39,95
Woodcraft,234.08,25.5,4,4427.31,97
Zari Work,1320.6,30.6,5,6741.01,85
Brassware,150.37,8.0,3,1807.63,83
Terracotta,1212.97,35.5,1,5610.0,43
Woodcraft,1886.44,35.1,4,7177.29,68
Terracotta,1193.4,3.1,3,2271.23,62
Zari Work,837.52,33.4,2,4997.98,45
Zari Work,1322.25,6.9,2,3106.32,71
Brassware,970.68,14.7,3,3748.02,81
Brassware,1136.67,30.3,1,5324.76,57
Zari Work,1888.78,8.1,2,4140.64,54
Woodcraft,833.6,33.1,5,6043.29,79
Terracotta,1926.26,33.6,3,6969.28,97
Madhubani,1820.17,21.3,3,5240.97,71
Brassware,472.0,2.2,2,1394.67,48
Madhubani,231.79,12.9,1,1813.28,76
Woodcraft,291.48,25.4,5,4761.41,49
Brassware,134.62,39.3,1,5340.8,59
Madhubani,279.44,26.0,4,3828.8,45
Woodcraft,1397.71,11.9,4,4045.89,87
Terracotta,235.26,26.1,2,4065.71,95
Woodcraft,706.05,22.5,2,4007.98,98
Brassware,1705.26,31.6,2,6900.8,42
Zari Work,144.22,6.1,4,1848.56,81
Terracotta,1647.49,30.9,1,5847.62,50
Madhubani,635.52,22.6,1,3557.98,82
Brassware,324.51,38.6,2,5863.74,56
Zari Work,1423.8,15.0,5,4765.01,71
Woodcraft,1294.99,26.0,1,4488.71,43
Zari Work,1767.2,37.4,4,6667.7,43
Brassware,1496.63,5.9,3,3268.41,56
Brassware,1626.61,37.6,3,7805.39,80
Zari Work,635.87,28.1,3,5077.66,58
Woodcraft,437.14,4.6,5,2163.24,44
Zari Work,1526.17,13.4,2,3617.47,71
Brassware,1632.99,28.9,4,5928.93,61
Brassware,1981.96,4.6,5,4438.98,95
Madhubani,883.97,24.1,4,4403.69,45
Madhubani,806.83,15.1,4,3416.58,74
Terracotta,1575.18,25.6,2,4967.99,61
Brassware,747.53,3.7,3,2075.2,40
Madhubani,1868.44,35.1,2,7637.63,59
Zari Work,1730.98,39.0,5,7372.23,61
Woodcraft,915.09,38.8,5,6668.19,87
Zari Work,1526.66,30.5,5,6728.94,94
Woodcraft,1533.63,6.9,2,3564.47,50
Madhubani,295.94,30.8,4,4334.94,52
Terracotta,1814.85,2.9,4,3481.47,98
Zari Work,1059.98,2.8,1,1854.82,81
Zari Work,1670.27,14.3,5,5225.95,42
Zari Work,708.09,20.6,4,4084.25,48
Woodcraft,1801.49,31.3,1,5639.92,51
Madhubani,839.48,28.0,4,5302.81,62
Zari Work,120.59,18.9,5,3557.48,53
Zari Work,1820.23,12.4,3,3896.86,72
Terracotta,273.44,39.9,5,6494.52,57
Terracotta,706.7,18.2,2,3188.44,88
Madhubani,1905.12,19.2,4,5563.58,98
Madhubani,1906.15,8.2,4,4137.48,80
Brassware,1189.53,32.2,2,5993.25,48
Terracotta,1300.49,28.4,2,5238.23,62
Brassware,952.05,10.4,3,3297.45,49
Woodcraft,657.1,5.1,4,2353.35,58
Brassware,724.46,27.9,4,5151.1,86
Zari Work,1377.79,26.9,3,5897.45,44
Brassware,1529.51,12.4,1,3845.2,86
Madhubani,1604.0,38.1,3,6367.99,91
Woodcraft,1600.27,7.7,5,3864.74,62
Zari Work,273.29,18.4,4,3618.66,69
Brassware,1039.4,37.9,2,5637.58,64
Woodcraft,209.36,17.9,5,3530.42,67
Woodcraft,1144.1,26.3,4,5925.09,73
Zari Work,938.91,17.1,3,3413.84,84
Brassware,1786.64,12.4,5,4950.54,95
Woodcraft,766.74,39.4,4,6338.6,87
Woodcraft,322.43,17.6,1,2716.8,86
Terracotta,371.68,36.0,1,4419.68,64
Woodcraft,1546.87,10.7,2,3271.61,49
Terracotta,1274.61,10.1,4,3757.8,53
Brassware,292.13,3.2,1,1017.87,81
Brassware,259.8,26.8,3,4317.89,96
Brassware,1431.84,16.0,4,4559.49,85
Madhubani,238.25,34.8,3,4512.59,97
Brassware,1661.53,20.0,3,5303.46,69
Woodcraft,1441.86,38.8,1,6214.41,94
Zari Work,254.56,9.0,4,2375.61,80
Terracotta,261.19,35.0,5,5832.79,64
Madhubani,1974.62,31.5,1,6760.35,53
Brassware,811.11,31.3,1,5419.64,74
Brassware,804.22,34.1,4,5186.55,91
Zari Work,1644.32,30.9,4,6891.34,87
Zari Work,1899.77,25.8,3,5834.98,73
Madhubani,1973.4,7.0,4,4553.04,49
Terracotta,1531.42,3.2,3,2795.38,74
Brassware,814.89,37.0,1,5872.12,50
Madhubani,258.65,25.4,2,4024.49,50
Woodcraft,1576.58,32.3,5,6080.72,60
Woodcraft,1160.97,20.3,1,3982.76,60
Madhubani,906.02,6.5,4,2877.63,61
Brassware,1822.07,6.8,5,4091.26,84
Madhubani,311.28,28.1,2,3857.72,46
Brassware,1035.99,18.4,2,3632.79,94
Zari Work,121.57,9.6,3,1709.68,56
Madhubani,990.46,20.7,5,5068.1,41
Brassware,206.98,4.4,3,1397.43,51
Madhubani,325.75,24.1,1,3103.65,96
Madhubani,323.3,12.2,5,2748.68,81
Brassware,1333.5,32.3,1,5534.26,57
Brassware,1517.49,13.8,3,3865.22,93
Terracotta,1208.4,19.3,5,4732.33,98
Madhubani,1928.13,2.4,3,3246.38,50
Woodcraft,812.25,4.8,5,2492.58,55
Madhubani,642.85,16.9,3,3587.26,88
Madhubani,1750.34,20.2,2,4711.81,90
Brassware,524.83,24.8,3,4305.45,57
Madhubani,1930.12,13.1,2,4502.12,74
Madhubani,123.09,28.4,3,4132.85,92
Woodcraft,1942.77,34.7,5,7843.04,98
Brassware,182.0,31.6,5,4967.67,65
Madhubani,1793.17,3.5,5,4041.52,55
Zari Work,1102.63,20.3,4,4769.48,45
Terracotta,1986.63,6.0,1,3515.84,96
Woodcraft,240.21,11.2,5,2795.07,83
Madhubani,1152.32,39.5,2,6668.16,82
Zari Work,1941.67,7.4,5,4156.25,86
Madhubani,1093.89,21.0,4,4339.52,86
Madhubani,1295.86,25.5,2,4651.21,87
Brassware,1421.92,28.7,4,6537.43,81
Brassware,963.63,23.3,2,4576.58,51
Brassware,1292.36,2.4,3,2799.13,52
Zari Work,1210.2,14.4,1,3536.03,43
Madhubani,1812.2,21.7,1,5055.38,78
Terracotta,186.35,5.3,4,1479.57,93
Woodcraft,633.83,15.3,1,2923.24,41
Brassware,1905.78,3.3,4,3708.18,65
Brassware,1791.5,5.0,4,4110.0,98
Madhubani,965.75,17.1,4,3791.36,66
Madhubani,1278.25,7.0,1,2699.8,66
Zari Work,627.02,23.6,4,4504.04,54
Zari Work,457.43,28.2,1,4225.46,47
Brassware,981.03,32.4,4,5931.47,46
Madhubani,771.37,9.6,5,3299.86,86
Terracotta,1208.95,8.4,4,3103.53,94
Woodcraft,247.7,6.0,2,1484.38,85
Madhubani,1951.35,26.2,4,6556.62,79
Madhubani,1973.8,28.8,3,7122.41,51
Zari Work,1426.51,3.2,4,3249.97,52
Woodcraft,1118.58,37.6,2,5974.35,82
Brassware,688.1,4.0,2,1659.25,56
Madhubani,1646.21,22.6,1,5528.73,56
Brassware,1400.99,28.9,5,6221.67,95
Madhubani,408.97,35.1,4,5926.14,75
Brassware,1830.76,29.1,1,5519.68,60
Woodcraft,1662.82,32.5,5,7163.72,47
Zari Work,1904.62,14.9,4,5356.68,44
Woodcraft,1478.87,33.0,3,7021.32,65
Terracotta,1265.49,5.0,4,2902.14,55
Zari Work,894.66,36.0,2,6064.75,75
Woodcraft,1872.18,22.8,2,5541.63,67
Terracotta,1745.52,33.1,3,6040.33,93
Madhubani,185.92,19.2,1,2799.28,68
Madhubani,150.1,26.5,5,4452.59,86
Brassware,815.28,22.0,4,4852.9,51
Zari Work,1640.05,29.8,2,6004.99,76
Madhubani,1975.82,5.1,1,3151.31,69
Zari Work,385.79,4.3,3,1421.87,62
Madhubani,1228.85,11.4,2,3255.49,55
Brassware,823.69,8.1,3,2480.33,53
Woodcraft,1942.84,35.1,4,7862.44,49
Brassware,1700.03,10.3,5,4245.9,46
Terracotta,1692.82,39.1,2,7905.72,84
Madhubani,990.52,14.8,2,3773.26,91
Terracotta,888.16,8.9,4,3061.4,76
Terracotta,619.47,32.0,1,5214.73,68
Zari Work,207.11,27.0,5,4672.14,42
Madhubani,1742.97,20.9,2,5160.04,54
Terracotta,1644.51,23.1,5,5386.94,75
Woodcraft,1999.46,29.3,2,6359.53,86
Terracotta,1993.61,10.7,5,4884.06,85
Woodcraft,1155.32,39.9,3,7317.61,91
Zari Work,1561.08,39.0,2,6957.23,58
Terracotta,1895.05,26.7,5,7166.3,52
Brassware,1714.33,9.6,1,3687.42,81
Zari Work,569.96,27.8,3,4200.22,60
Woodcraft,956.03,4.7,3,2655.02,76
Zari Work,345.4,3.2,1,1020.68,66
Terracotta,1912.7,11.8,5,4720.35,94
Madhubani,1251.73,19.6,4,4870.58,91
Madhubani,534.42,35.0,1,4534.25,68
Woodcraft,1376.23,29.6,5,6427.43,59
Woodcraft,1274.44,30.2,1,5385.66,64
Madhubani,780.51,18.2,1,3263.57,45
Woodcraft,315.76,15.1,2,2841.45,75
Zari Work,1375.99,16.1,5,4671.6,41
Brassware,1088.58,39.5,4,6378.17,61
Brassware,1567.4,3.5,2,2813.06,71
Zari Work,1088.31,34.9,1,6250.15,55
Brassware,1719.14,24.0,1,4845.25,57
Terracotta,1148.62,18.7,1,3616.68,44
Zari Work,1165.78,29.6,5,5280.48,93
Woodcraft,1765.64,20.5,5,5032.62,75
Zari Work,866.62,35.2,2,6062.09,69
Madhubani,354.63,36.2,4,5773.06,84
Woodcraft,154.69,18.0,2,2609.74,58
Madhubani,1534.76,12.5,3,4230.08,62
Woodcraft,1278.59,24.5,1,4610.49,73
Brassware,1437.75,36.7,1,7018.58,52
Zari Work,504.63,10.0,1,2239.52,82
Terracotta,359.11,25.7,2,3765.04,93
Woodcraft,127.63,26.0,2,3891.94,68
Woodcraft,766.12,29.9,1,4979.58,75
Madhubani,1220.84,7.0,2,2673.45,61
Brassware,845.26,29.2,5,5150.89,91
Madhubani,931.2,36.5,5,6398.85,91
Madhubani,1817.9,8.8,2,4031.96,86
Brassware,761.69,11.0,1,2738.17,75
Terracotta,1076.58,38.9,2,6728.16,48
Madhubani,1588.94,8.9,2,3780.67,78
Madhubani,853.43,34.5,2,5663.63,90
Woodcraft,1281.96,20.7,3,5036.01,58
Brassware,1738.49,11.4,5,4868.07,77
Zari Work,1904.09,35.1,4,7151.72,45
Terracotta,379.44,18.9,4,3528.94,91
Terracotta,1860.52,21.6,3,5915.22,86
Brassware,1035.02,15.7,2,3193.05,54
Woodcraft,590.66,24.5,3,4523.37,96
Woodcraft,972.36,8.2,3,2601.21,59
Brassware,1962.06,16.9,1,4734.42,48
Woodcraft,1035.97,38.8,5,7354.21,71
Terracotta,724.63,11.8,4,2927.36,43
Terracotta,1303.46,27.0,2,4931.07,89
Zari Work,556.28,14.4,4,3111.53,57
Brassware,244.14,31.4,4,5204.68,44
Madhubani,344.87,7.0,5,1981.06,59
Madhubani,343.29,38.9,4,6306.75,62
Zari Work,388.62,19.2,4,3254.19,50
Zari Work,363.77,11.0,3,2606.19,76
Woodcraft,1317.66,4.8,5,3589.73,61
